As of date,As of time,Mainland China,Number of reported/confirmed cases,Number of deaths,Remark
11/01/2020,23:59,Hubei,41,,
12/01/2020,23:59,Hubei,41,,
13/01/2020,23:59,Hubei,41,,
15/01/2020,23:59,Hubei,41,,
16/01/2020,23:59,Hubei,45,,
17/01/2020,23:59,Hubei,62,,
19/01/2020,23:59,Hubei,198,,
20/01/2020,18:00,Guangdong,14,,
20/01/2020,18:00,Beijing,5,,
20/01/2020,18:00,Shanghai,1,,
20/01/2020,23:59,Hubei,270,,
21/01/2020,18:00,Guangdong,17,,
21/01/2020,18:00,Beijing,5,,
21/01/2020,18:00,Shanghai,2,,
21/01/2020,18:00,Zhejiang,1,,
21/01/2020,23:59,Hubei,375,,
22/01/2020,9:00,Beijing,10,,
22/01/2020,9:00,Chongqing,5,,
22/01/2020,9:00,Guangdong,26,,
22/01/2020,9:00,Henan ,1,,
22/01/2020,9:00,Hunan ,1,,
22/01/2020,9:00,Jiangxi,2,,
22/01/2020,9:00,Shandong,1,,
22/01/2020,9:00,Shanghai,9,,
22/01/2020,9:00,Sichuan,2,,
22/01/2020,9:00,Tianjin,2,,
22/01/2020,9:00,Yunnan,1,,
22/01/2020,9:00,Zhejiang,5,,
22/01/2020,18:00,Beijing,14,,
22/01/2020,18:00,Liaoning,2,,
22/01/2020,18:00,Anhui,4,,
22/01/2020,18:00,Chongqing,6,,
22/01/2020,18:00,Shaanxi,4,,
22/01/2020,18:00,Tianjin,2,,
22/01/2020,18:00,Fujian,1,,
22/01/2020,18:00,Hunan,4,,
22/01/2020,18:00,Sichuan,5,,
22/01/2020,18:00,heilongjiang,1,,
22/01/2020,18:00,Jiangxi,2,,
22/01/2020,18:00,Guangdong,32,,
22/01/2020,18:00,Guizhou,1,,
22/01/2020,18:00,Shanghai,16,,
22/01/2020,18:00,Shandong,1,,
22/01/2020,18:00,Guangxi Autonomous Region,2,,
22/01/2020,18:00,Yunnan,1,,
22/01/2020,18:00,Zhejiang,10,,
22/01/2020,18:00,Henan,5,,
22/01/2020,18:00,Hainan,1,,
22/01/2020,23:59,Hubei,444,,
23/01/2020,18:00,Beijing,14,,
23/01/2020,18:00,Liaoning,3,,
23/01/2020,18:00,Anhui,9,,
23/01/2020,18:00,Chongqing,9,,
23/01/2020,18:00,Shaanxi,4,,
23/01/2020,18:00,Tianjin,2,,
23/01/2020,18:00,Fujian,4,,
23/01/2020,18:00,Hunan,9,,
23/01/2020,18:00,Sichuan,8,,
23/01/2020,18:00,Heilongjiang,1,,
23/01/2020,18:00,Jiangxi,3,,
23/01/2020,18:00,Guangdong,32,,
23/01/2020,18:00,Guizhou,3,,
23/01/2020,18:00,Shanghai,16,,
23/01/2020,18:00,Shandong,1,,
23/01/2020,18:00,Guangxi Zhuang Autonomous Region,5,,
23/01/2020,18:00,Yunnan,1,,
23/01/2020,18:00,Zhejiang,27,,
23/01/2020,18:00,Henan,5,,
23/01/2020,18:00,Hebei,1,,
23/01/2020,18:00,Hainan,1,,
23/01/2020,18:00,Jilin,1,,
23/01/2020,18:00,Shanxi,1,,
23/01/2020,18:00,Ningxia Hui Autonomous Region,1,,
23/01/2020,18:00,Jiangsu,1,,
23/01/2020,20:00,Hubei,468,,
23/01/2020,23:59,Hubei,549,,
24/01/2020,18:00,Beijing,26,,
24/01/2020,18:00,Liaoning,4,,
24/01/2020,18:00,Anhui,15,,
24/01/2020,18:00,Chongqing,27,,
24/01/2020,18:00,Shaanxi,7,,
24/01/2020,18:00,Tianjin,7,,
24/01/2020,18:00,Fujian,10,,
24/01/2020,18:00,Hunan,24,,
24/01/2020,18:00,Sichuan,15,,
24/01/2020,18:00,Gansu,2,,
24/01/2020,18:00,Heilongjiang,4,,
24/01/2020,18:00,Jiangxi,7,,
24/01/2020,18:00,Guangdong,53,,
24/01/2020,18:00,Guizhou,3,,
24/01/2020,18:00,Shanghai,20,,
24/01/2020,18:00,Shandong,15,,
24/01/2020,18:00,Guangxi Zhuang Autonomous Region,13,,
24/01/2020,18:00,Yunnan,2,,
24/01/2020,18:00,Inner Mongolia Autonomous Region,1,,
24/01/2020,18:00,Zhejiang,43,,
24/01/2020,18:00,Henan,9,,
24/01/2020,18:00,Hebei,2,,
24/01/2020,18:00,Hainan,8,,
24/01/2020,18:00,Jilin,3,,
24/01/2020,18:00,Shanxi,1,,
24/01/2020,18:00,Ningxia Hui Autonomous Region,1,,
24/01/2020,18:00,Jiangsu,9,,
24/01/2020,18:00,Xinjiang Uygur Autonomous Region,2,,
24/01/2020,23:59,Hubei,729,,
25/01/2020,18:00,Beijing,36,,
25/01/2020,18:00,Liaoning,15,,
25/01/2020,18:00,Anhui,39,,
25/01/2020,18:00,Chongqing,57,,
25/01/2020,18:00,Shaanxi,5,,
25/01/2020,18:00,Tianjin,9,,
25/01/2020,18:00,Fujian,10,,
25/01/2020,18:00,Hunan,43,,
25/01/2020,18:00,Sichuan,28,,
25/01/2020,18:00,Gansu,4,,
25/01/2020,18:00,Heilongjiang,9,,
25/01/2020,18:00,Jiangxi,18,,
25/01/2020,18:00,Guangdong,78,,
25/01/2020,18:00,Guizhou,5,,
25/01/2020,18:00,Shanghai,33,,
25/01/2020,18:00,Shandong,21,,
25/01/2020,18:00,Guangxi Zhuang Autonomous Region,23,,
25/01/2020,18:00,Yunnan,5,,
25/01/2020,18:00,Inner Mongolia Autonomous Region,2,,
25/01/2020,18:00,Zhejiang,62,,
25/01/2020,18:00,Henan,32,,
25/01/2020,18:00,Hebei,8,,
25/01/2020,18:00,Hainan,17,,
25/01/2020,18:00,Jilin,4,,
25/01/2020,18:00,Shanxi,6,,
25/01/2020,18:00,Ningxia Hui Autonomous Region,3,,
25/01/2020,18:00,Jiangsu,18,,
25/01/2020,18:00,Xinjiang Uygur Autonomous Region,3,,
25/01/2020,18:00,Qinghai,1,,
25/01/2020,23:59,Hubei,1052,,
26/01/2020,18:00,Beijing,54,,
26/01/2020,18:00,Liaoning,19,,
26/01/2020,18:00,Anhui,60,,
26/01/2020,18:00,Chongqing,75,,
26/01/2020,18:00,Shaanxi,22,,
26/01/2020,18:00,Tianjin,13,,
26/01/2020,18:00,Fujian,29,,
26/01/2020,18:00,Hunan,69,,
26/01/2020,18:00,Sichuan,46,,
26/01/2020,18:00,Gansu,7,,
26/01/2020,18:00,Heilongjiang,15,,
26/01/2020,18:00,Jiangxi,36,,
26/01/2020,18:00,Guangdong,111,,
26/01/2020,18:00,Guizhou,5,,
26/01/2020,18:00,Shanghai,40,,
26/01/2020,18:00,Shandong,46,,
26/01/2020,18:00,Guangxi Zhuang Autonomous Region,33,,
26/01/2020,18:00,Yunnan,11,,
26/01/2020,18:00,Inner Mongolia Autonomous Region,7,,
26/01/2020,18:00,Zhejiang,104,,
26/01/2020,18:00,Henan,83,,
26/01/2020,18:00,Hebei,13,,
26/01/2020,18:00,Hainan,22,,
26/01/2020,18:00,Jilin,4,,
26/01/2020,18:00,Shanxi,9,,
26/01/2020,18:00,Ningxia Hui Autonomous Region,3,,
26/01/2020,18:00,Jiangsu,31,,
26/01/2020,18:00,Xinjiang Uygur Autonomous Region,4,,
26/01/2020,18:00,Qinghai,4,,
26/01/2020,23:59,Hubei,1423,,
27/01/2020,9:00,Beijing,68,,
27/01/2020,9:00,Liaoning,22,,
27/01/2020,9:00,Anhui,66,,
27/01/2020,9:00,Chongqing,75,,
27/01/2020,9:00,Shaanxi,22,,
27/01/2020,9:00,Tianjin,13,,
27/01/2020,9:00,Fujian,35,,
27/01/2020,9:00,Hunan,69,,
27/01/2020,9:00,Sichuan,46,,
27/01/2020,9:00,Gansu,7,,
27/01/2020,9:00,Heilongjiang,16,,
27/01/2020,9:00,Jiangxi,48,,
27/01/2020,9:00,Guangdong,111,,
27/01/2020,9:00,Guizhou,5,,
27/01/2020,9:00,Shanghai,40,,
27/01/2020,9:00,Shandong,46,,
27/01/2020,9:00,Guangxi Zhuang Autonomous Region,46,,
27/01/2020,9:00,Yunnan,16,,
27/01/2020,9:00,Inner Mongolia Autonomous Region,7,,
27/01/2020,9:00,Zhejiang,104,,
27/01/2020,9:00,Henan,83,,
27/01/2020,9:00,Hebei,13,,
27/01/2020,9:00,Hainan,22,,
27/01/2020,9:00,Jilin,4,,
27/01/2020,9:00,Shanxi,13,,
27/01/2020,9:00,Ningxia Hui Autonomous Region,3,,
27/01/2020,9:00,Jiangsu,33,,
27/01/2020,9:00,Xinjiang Uygur Autonomous Region,4,,
27/01/2020,9:00,Qinghai,4,,
27/01/2020,18:00,Beijing,72,,
27/01/2020,18:00,Liaoning,24,,
27/01/2020,18:00,Anhui,70,,
27/01/2020,18:00,Chongqing,110,,
27/01/2020,18:00,Shaanxi,35,,
27/01/2020,18:00,Tianjin,18,,
27/01/2020,18:00,Fujian,56,,
27/01/2020,18:00,Hunan,100,,
27/01/2020,18:00,Sichuan,69,,
27/01/2020,18:00,Gansu,14,,
27/01/2020,18:00,Heilongjiang,21,,
27/01/2020,18:00,Jiangxi,48,,
27/01/2020,18:00,Guangdong,151,,
27/01/2020,18:00,Guizhou,7,,
27/01/2020,18:00,Shanghai,53,,
27/01/2020,18:00,Shandong,75,,
27/01/2020,18:00,Guangxi Zhuang Autonomous Region,46,,
27/01/2020,18:00,Yunnan,19,,
27/01/2020,18:00,Inner Mongolia Autonomous Region,11,,
27/01/2020,18:00,Zhejiang,128,,
27/01/2020,18:00,Henan,128,,
27/01/2020,18:00,Hebei,18,,
27/01/2020,18:00,Hainan,31,,
27/01/2020,18:00,Jilin,6,,
27/01/2020,18:00,Shanxi,13,,
27/01/2020,18:00,Ningxia Hui Autonomous Region,7,,
27/01/2020,18:00,Jiangsu,47,,
27/01/2020,18:00,Xinjiang Uygur Autonomous Region,5,,
27/01/2020,18:00,Qinghai,4,,
27/01/2020,23:59,Hubei,2714,,
28/01/2020,10:00,Beijing,80,,
28/01/2020,10:00,Liaoning,27,,
28/01/2020,10:00,Anhui,106,,
28/01/2020,10:00,Chongqing,132,,
28/01/2020,10:00,Shaanxi,35,,
28/01/2020,10:00,Tianjin,23,,
28/01/2020,10:00,Fujian,59,,
28/01/2020,10:00,Hunan,143,,
28/01/2020,10:00,Sichuan,90,,
28/01/2020,10:00,Gansu,19,,
28/01/2020,10:00,Heilongjiang,30,,
28/01/2020,10:00,Jiangxi,72,,
28/01/2020,10:00,Guangdong,188,,
28/01/2020,10:00,Guizhou,9,,
28/01/2020,10:00,Shanghai,66,,
28/01/2020,10:00,Shandong,87,,
28/01/2020,10:00,Guangxi Zhuang Autonomous Region,51,,
28/01/2020,10:00,Yunnan,26,,
28/01/2020,10:00,Inner Mongolia Autonomous Region,13,,
28/01/2020,10:00,Zhejiang,173,,
28/01/2020,10:00,Henan,168,,
28/01/2020,10:00,Hebei,33,,
28/01/2020,10:00,Hainan,40,,
28/01/2020,10:00,Jilin,8,,
28/01/2020,10:00,Shanxi,20,,
28/01/2020,10:00,Ningxia Hui Autonomous Region,11,,
28/01/2020,10:00,Jiangsu,70,,
28/01/2020,10:00,Xinjiang Uygur Autonomous Region,10,,
28/01/2020,10:00,Qinghai,6,,
28/01/2020,18:00,Beijing,80,,
28/01/2020,18:00,Liaoning,30,,
28/01/2020,18:00,Anhui,106,,
28/01/2020,18:00,Chongqing,132,,
28/01/2020,18:00,Shaanxi,46,,
28/01/2020,18:00,Tianjin,24,,
28/01/2020,18:00,Fujian,73,,
28/01/2020,18:00,Hunan,143,,
28/01/2020,18:00,Sichuan,90,,
28/01/2020,18:00,Gansu,19,,
28/01/2020,18:00,Heilongjiang,30,,
28/01/2020,18:00,Jiangxi,72,,
28/01/2020,18:00,Guangdong,207,,
28/01/2020,18:00,Guizhou,9,,
28/01/2020,18:00,Shanghai,66,,
28/01/2020,18:00,Shandong,95,,
28/01/2020,18:00,Guangxi Zhuang Autonomous Region,51,,
28/01/2020,18:00,Yunnan,44,,
28/01/2020,18:00,Inner Mongolia Autonomous Region,15,,
28/01/2020,18:00,Zhejiang,173,,
28/01/2020,18:00,Henan,168,,
28/01/2020,18:00,Hebei,33,,
28/01/2020,18:00,Hainan,40,,
28/01/2020,18:00,Jilin,8,,
28/01/2020,18:00,Shanxi,20,,
28/01/2020,18:00,Ningxia Hui Autonomous Region,11,,
28/01/2020,18:00,Jiangsu,70,,
28/01/2020,18:00,Xinjiang Uygur Autonomous Region,10,,
28/01/2020,18:00,Qinghai,6,,
28/01/2020,23:59,Hubei,3554,,
29/01/2020,9:00,Beijing,91,,
29/01/2020,9:00,Liaoning,34,,
29/01/2020,9:00,Anhui,106,,
29/01/2020,9:00,Chongqing,132,,
29/01/2020,9:00,Shaanxi,46,,
29/01/2020,9:00,Tianjin,24,,
29/01/2020,9:00,Fujian,80,,
29/01/2020,9:00,Hunan,143,,
29/01/2020,9:00,Sichuan,90,,
29/01/2020,9:00,Gansu,19,,
29/01/2020,9:00,Heilongjiang,31,,
29/01/2020,9:00,Jiangxi,109,,
29/01/2020,9:00,Guangdong,207,,
29/01/2020,9:00,Guizhou,9,,
29/01/2020,9:00,Shanghai,66,,
29/01/2020,9:00,Shandong,95,,
29/01/2020,9:00,Guangxi Zhuang Autonomous Region,51,,
29/01/2020,9:00,Yunnan,44,,
29/01/2020,9:00,Inner Mongolia Autonomous Region,15,,
29/01/2020,9:00,Zhejiang,173,,
29/01/2020,9:00,Henan,168,,
29/01/2020,9:00,Hebei,33,,
29/01/2020,9:00,Hainan,40,,
29/01/2020,9:00,Jilin,8,,
29/01/2020,9:00,Shanxi,27,,
29/01/2020,9:00,Ningxia Hui Autonomous Region,11,,
29/01/2020,9:00,Jiangsu,70,,
29/01/2020,9:00,Xinjiang Uygur Autonomous Region,10,,
29/01/2020,9:00,Qinghai,6,,
29/01/2020,18:00,Beijing,102,,
29/01/2020,18:00,Liaoning,38,,
29/01/2020,18:00,Anhui,152,,
29/01/2020,18:00,Chongqing,147,,
29/01/2020,18:00,Shaanxi,56,,
29/01/2020,18:00,Tianjin,27,,
29/01/2020,18:00,Fujian,84,,
29/01/2020,18:00,Hunan,221,,
29/01/2020,18:00,Sichuan,108,,
29/01/2020,18:00,Gansu,24,,
29/01/2020,18:00,Heilongjiang,38,,
29/01/2020,18:00,Jiangxi,109,,
29/01/2020,18:00,Guangdong,272,,
29/01/2020,18:00,Guizhou,9,,
29/01/2020,18:00,Shanghai,96,,
29/01/2020,18:00,Shandong,130,,
29/01/2020,18:00,Guangxi Zhuang Autonomous Region,58,,
29/01/2020,18:00,Yunnan,55,,
29/01/2020,18:00,Inner Mongolia Autonomous Region,16,,
29/01/2020,18:00,Zhejiang,296,,
29/01/2020,18:00,Henan,206,,
29/01/2020,18:00,Hebei,48,,
29/01/2020,18:00,Hainan,43,,
29/01/2020,18:00,Jilin,9,,
29/01/2020,18:00,Shanxi,27,,
29/01/2020,18:00,Ningxia Hui Autonomous Region,12,,
29/01/2020,18:00,Jiangsu,99,,
29/01/2020,18:00,Xinjiang Uygur Autonomous Region,13,,
29/01/2020,18:00,Qinghai,6,,
29/01/2020,23:59,Hubei,4586,,
30/01/2020,9:00,Beijing,111,,
30/01/2020,9:00,Liaoning,39,,
30/01/2020,9:00,Anhui,152,,
30/01/2020,9:00,Chongqing,165,,
30/01/2020,9:00,Shaanxi,56,,
30/01/2020,9:00,Tianjin,27,,
30/01/2020,9:00,Fujian,84,,
30/01/2020,9:00,Hunan,221,,
30/01/2020,9:00,Sichuan,108,,
30/01/2020,9:00,Gansu,24,,
30/01/2020,9:00,Heilongjiang,39,,
30/01/2020,9:00,Jiangxi,162,,
30/01/2020,9:00,Guangdong,272,,
30/01/2020,9:00,Guizhou,9,,
30/01/2020,9:00,Shanghai,96,,
30/01/2020,9:00,Shandong,130,,
30/01/2020,9:00,Guangxi Zhuang Autonomous Region,58,,
30/01/2020,9:00,Yunnan,55,,
30/01/2020,9:00,Inner Mongolia Autonomous Region,16,,
30/01/2020,9:00,Zhejiang,296,,
30/01/2020,9:00,Henan,206,,
30/01/2020,9:00,Hebei,48,,
30/01/2020,9:00,Hainan,45,,
30/01/2020,9:00,Jilin,9,,
30/01/2020,9:00,Shanxi,35,,
30/01/2020,9:00,Ningxia Hui Autonomous Region,12,,
30/01/2020,9:00,Jiangsu,99,,
30/01/2020,9:00,Xinjiang Uygur Autonomous Region,13,,
30/01/2020,9:00,Qinghai,6,,
30/01/2020,18:00,Beijing,114,,
30/01/2020,18:00,Liaoning,41,,
30/01/2020,18:00,Anhui,200,,
30/01/2020,18:00,Chongqing,182,,
30/01/2020,18:00,Shaanxi,63,,
30/01/2020,18:00,Tianjin,29,,
30/01/2020,18:00,Fujian,101,,
30/01/2020,18:00,Hunan,277,,
30/01/2020,18:00,Sichuan,142,,
30/01/2020,18:00,Gansu,26,,
30/01/2020,18:00,Heilongjiang,43,,
30/01/2020,18:00,Jiangxi,162,,
30/01/2020,18:00,Guangdong,354,,
30/01/2020,18:00,Guizhou,12,,
30/01/2020,18:00,Shanghai,112,,
30/01/2020,18:00,Shandong,158,,
30/01/2020,18:00,Guangxi Zhuang Autonomous Region,78,,
30/01/2020,18:00,Yunnan,70,,
30/01/2020,18:00,Inner Mongolia Autonomous Region,18,,
30/01/2020,18:00,Zhejiang,428,,
30/01/2020,18:00,Henan,278,,
30/01/2020,18:00,Hebei,65,,
30/01/2020,18:00,Hainan,46,,
30/01/2020,18:00,Jilin,14,,
30/01/2020,18:00,Shanxi,35,,
30/01/2020,18:00,Ningxia Hui Autonomous Region,17,,
30/01/2020,18:00,Jiangsu,129,,
30/01/2020,18:00,Xinjiang Uygur Autonomous Region,14,,
30/01/2020,18:00,Qinghai,6,,
30/01/2020,18:00,Tibet Autonomous Region,1,,
30/01/2020,23:59,Hubei,5806,,
31/01/2020,9:00,Beijing,121,,
31/01/2020,9:00,Liaoning,45,,
31/01/2020,9:00,Anhui,200,,
31/01/2020,9:00,Chongqing,206,,
31/01/2020,9:00,Shaanxi,63,,
31/01/2020,9:00,Tianjin,31,,
31/01/2020,9:00,Fujian,101,,
31/01/2020,9:00,Hunan,277,,
31/01/2020,9:00,Sichuan,177,,
31/01/2020,9:00,Gansu,29,,
31/01/2020,9:00,Heilongjiang,44,,
31/01/2020,9:00,Jiangxi,162,,
31/01/2020,9:00,Guangdong,393,,
31/01/2020,9:00,Guizhou,12,,
31/01/2020,9:00,Shanghai,128,,
31/01/2020,9:00,Shandong,158,,
31/01/2020,9:00,Guangxi Zhuang Autonomous Region,87,,
31/01/2020,9:00,Yunnan,76,,
31/01/2020,9:00,Inner Mongolia Autonomous Region,18,,
31/01/2020,9:00,Zhejiang,428,,
31/01/2020,9:00,Henan,278,,
31/01/2020,9:00,Hebei,65,,
31/01/2020,9:00,Hainan,50,,
31/01/2020,9:00,Jilin,14,,
31/01/2020,9:00,Shanxi,39,,
31/01/2020,9:00,Ningxia Hui Autonomous Region,17,,
31/01/2020,9:00,Jiangsu,129,,
31/01/2020,9:00,Xinjiang Uygur Autonomous Region,14,,
31/01/2020,9:00,Qinghai,8,,
31/01/2020,9:00,Tibet Autonomous Region,1,,
31/01/2020,18:00,Beijing,139,,
31/01/2020,18:00,Liaoning,48,,
31/01/2020,18:00,Anhui,237,,
31/01/2020,18:00,Chongqing,211,,
31/01/2020,18:00,Shaanxi,87,,
31/01/2020,18:00,Tianjin,32,,
31/01/2020,18:00,Fujian,120,,
31/01/2020,18:00,Hunan,332,,
31/01/2020,18:00,Sichuan,177,,
31/01/2020,18:00,Gansu,29,,
31/01/2020,18:00,Heilongjiang,59,,
31/01/2020,18:00,Jiangxi,240,,
31/01/2020,18:00,Guangdong,436,,
31/01/2020,18:00,Guizhou,29,,
31/01/2020,18:00,Shanghai,135,,
31/01/2020,18:00,Shandong,184,,
31/01/2020,18:00,Guangxi Zhuang Autonomous Region,87,,
31/01/2020,18:00,Yunnan,83,,
31/01/2020,18:00,Inner Mongolia Autonomous Region,20,,
31/01/2020,18:00,Zhejiang,537,,
31/01/2020,18:00,Henan,352,,
31/01/2020,18:00,Hebei,82,,
31/01/2020,18:00,Hainan,52,,
31/01/2020,18:00,Jilin,14,,
31/01/2020,18:00,Shanxi,39,,
31/01/2020,18:00,Ningxia Hui Autonomous Region,21,,
31/01/2020,18:00,Jiangsu,168,,
31/01/2020,18:00,Xinjiang Uygur Autonomous Region,17,,
31/01/2020,18:00,Qinghai,8,,
31/01/2020,18:00,Tibet Autonomous Region,1,,
31/01/2020,23:59,Hubei,7153,,
01/02/2020,9:00,Beijing,139,,
01/02/2020,9:00,Liaoning,60,,
01/02/2020,9:00,Anhui,237,,
01/02/2020,9:00,Chongqing,238,,
01/02/2020,9:00,Shaanxi,87,,
01/02/2020,9:00,Tianjin,32,,
01/02/2020,9:00,Fujian,120,,
01/02/2020,9:00,Hunan,332,,
01/02/2020,9:00,Sichuan,207,,
01/02/2020,9:00,Gansu,35,,
01/02/2020,9:00,Heilongjiang,59,,
01/02/2020,9:00,Jiangxi,286,,
01/02/2020,9:00,Guangdong,520,,
01/02/2020,9:00,Guizhou,29,,
01/02/2020,9:00,Shanghai,153,,
